Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000337	1	12	12	3	3	3	3	37
OG0000338	0	17	4	6	4	2	4	37
OG0000339	0	1	0	1	0	0	35	37
OG0000340	8	7	7	3	4	4	3	36
OG0000341	6	8	0	6	9	5	2	36
OG0000342	22	4	1	2	2	2	3	36
OG0000343	4	5	3	0	1	2	21	36
OG0000344	5	1	10	2	3	4	11	36
OG0000345	1	11	5	4	5	4	6	36
OG0000346	2	14	7	3	1	4	5	36
OG0000347	2	10	5	5	5	3	6	36
OG0000348	0	17	0	9	4	3	3	36
OG0000349	0	13	3	5	3	6	6	36
OG0000350	0	22	3	5	1	2	3	36
OG0000351	0	0	4	14	16	2	0	36
OG0000352	0	0	0	0	0	0	36	36
OG0000353	23	0	2	2	5	2	1	35
OG0000354	8	8	4	4	4	3	4	35
OG0000355	5	13	3	2	4	4	4	35
OG0000356	8	12	6	3	2	2	2	35
OG0000357	5	14	4	1	4	3	4	35
OG0000358	35	0	0	0	0	0	0	35
OG0000359	35	0	0	0	0	0	0	35
OG0000360	25	0	0	1	4	3	2	35
OG0000361	5	11	3	3	5	4	4	35
OG0000362	5	14	3	3	5	3	2	35
OG0000363	2	16	1	9	0	2	5	35
OG0000364	7	3	2	7	7	7	2	35
OG0000365	2	18	2	3	3	5	2	35
OG0000366	4	10	8	3	3	3	4	35
OG0000367	4	2	7	6	6	5	5	35
OG0000368	3	12	4	4	4	4	4	35
OG0000369	3	9	5	3	5	3	7	35
OG0000370	1	28	1	1	0	1	3	35
OG0000371	3	15	4	4	3	4	2	35
OG0000372	3	7	4	4	5	6	6	35
OG0000373	8	9	5	0	3	3	7	35
OG0000374	7	8	4	5	6	0	5	35
OG0000375	2	9	4	2	5	0	13	35
OG0000376	3	7	5	0	8	4	8	35
OG0000377	2	16	4	4	6	0	3	35
OG0000378	2	11	8	5	0	0	9	35
OG0000379	1	16	2	5	4	4	3	35
OG0000380	0	13	3	2	3	6	8	35
OG0000381	0	27	0	1	1	2	4	35
OG0000382	0	4	4	1	3	11	12	35
OG0000383	32	0	0	1	0	1	0	34
OG0000384	34	0	0	0	0	0	0	34
OG0000385	6	12	3	3	3	3	4	34
OG0000386	32	0	0	0	0	1	1	34
OG0000387	2	10	6	4	5	3	4	34
OG0000388	32	0	0	2	0	0	0	34
OG0000389	34	0	0	0	0	0	0	34
